id,group,order,speaker,audioPath,callbackKey,delayAfterAudio
RoomA,,,,,,3
RoomB,,,,,,3
RoomC,,,,,,3
RoomD,,,,,,3
Balcony1,,,,,,3
Balcony2,,,,,,3
Kitchen,,,,,,3
LivingRoom,,,,,,3
ClothesRoom,,,,,,3
Bathroom1,,,,,,3
Bathroom2,,,,,,3
Entrance,,,,,,3
Porch,,,,,,3
Hallway,,,,,,3
Situation0,,,,,,3
Situation1,,,,,,3
Situation2,,,,,,3
Balcony1_Cigarette_Resolve,,,,,,3 
RoomC_HairdStraightener_Hazard_Resolve,,,,,,3
Kitchen_InductionLever_Resolve,,,,,,3
LivingRoom_PowerStrip_UnPlug_Resolve,,,,,,3
Balcony_DescenderObservation_Resolve,,,,,,3
Kitchen_FireExtinguisherObservation_Resolve,,,,,,3
Wrong_Call_01,Wrong_Call,1,119 상황요원,,,3
Wrong_Call_02,Wrong_Call,2,,,,3
Wrong_Call_03,Wrong_Call,3,119 상황요원,,,3
Balcony_DescenderObservation_AfterResolve_01,Balcony_DescenderObservation_AfterResolve,1,관리사무소,,,3
Balcony_DescenderObservation_AfterResolve_02,Balcony_DescenderObservation_AfterResolve,2,,,,3
Balcony_DescenderObservation_AfterResolve_03,Balcony_DescenderObservation_AfterResolve,3,관리사무소,,,3
EntireHouse_Alarm_Calling_01,EntireHouse_Alarm_Calling,1,119 상황요원,,,3
EntireHouse_Alarm_Calling_02,EntireHouse_Alarm_Calling,2,,,,3
EntireHouse_Alarm_Calling_03,EntireHouse_Alarm_Calling,3,119 상황요원,,,3
Entrance_FireSuppression_BeforeResolve_01,Entrance_FireSuppression_BeforeResolve,1,119 상황요원,,,3
Entrance_FireSuppression_BeforeResolve_02,Entrance_FireSuppression_BeforeResolve,2,,,,3
Entrance_FireSuppression_BeforeResolve_03,Entrance_FireSuppression_BeforeResolve,3,119 상황요원,,,3
Entrance_FireSuppression_BeforeResolve_04,Entrance_FireSuppression_BeforeResolve,4,119 상황요원,,,3
Entrance_FireSuppression_AfterResolve_01,Entrance_FireSuppression_AfterResolve,1,119 상황요원,,,3
Entrance_FireSuppression_AfterResolve_02,Entrance_FireSuppression_AfterResolve,2,,,,3
Entrance_FireSuppression_AfterResolve_03,Entrance_FireSuppression_AfterResolve,3,119 상황요원,,,3
Entrance_FireSuppression_AfterResolve_04,Entrance_FireSuppression_AfterResolve,4,119 상황요원,,,3
Entrance_LightweightPartition_Escape_Calling_01,Entrance_LightweightPartition_Escape_Calling,1,119 상황요원,,,3
Entrance_LightweightPartition_Escape_Calling_02,Entrance_LightweightPartition_Escape_Calling,2,,,,3
Entrance_LightweightPartition_Escape_Calling_03,Entrance_LightweightPartition_Escape_Calling,3,119 상황요원,,,3
Entrance_LightweightPartition_Escape_Calling_04,Entrance_LightweightPartition_Escape_Calling,4,119 상황요원,,,3
Kitchen_FireExtinguisherObservation_AfterResolve_01,Kitchen_FireExtinguisherObservation_AfterResolve,1,관리사무소,,,3
Kitchen_FireExtinguisherObservation_AfterResolve_02,Kitchen_FireExtinguisherObservation_AfterResolve,2,,,,3
Kitchen_FireExtinguisherObservation_AfterResolve_03,Kitchen_FireExtinguisherObservation_AfterResolve,3,관리사무소,,,3
Kitchen_OilFire_BeforeResolve_01,Kitchen_OilFire_BeforeResolve,1,119 상황요원,,,3
Kitchen_OilFire_BeforeResolve_02,Kitchen_OilFire_BeforeResolve,2,,,,3
Kitchen_OilFire_BeforeResolve_03,Kitchen_OilFire_BeforeResolve,3,119 상황요원,,,3
Kitchen_OilFire_BeforeResolve_04,Kitchen_OilFire_BeforeResolve,4,119 상황요원,,,3
Kitchen_OilFire_AfterResolve_01,Kitchen_OilFire_AfterResolve,1,119 상황요원,,,3
Kitchen_OilFire_AfterResolve_02,Kitchen_OilFire_AfterResolve,2,,,,3
Kitchen_OilFire_AfterResolve_03,Kitchen_OilFire_AfterResolve,3,119 상황요원,,,3
Kitchen_OilFire_AfterResolve_04,Kitchen_OilFire_AfterResolve,4,119 상황요원,,,3
LivingRoom_PowerStrip_Fire_BeforeResolve_01,LivingRoom_PowerStrip_Fire_BeforeResolve,1,119 상황요원,,,3
LivingRoom_PowerStrip_Fire_BeforeResolve_02,LivingRoom_PowerStrip_Fire_BeforeResolve,2,,,,3
LivingRoom_PowerStrip_Fire_BeforeResolve_03,LivingRoom_PowerStrip_Fire_BeforeResolve,3,119 상황요원,,,3
LivingRoom_PowerStrip_Fire_BeforeResolve_04,LivingRoom_PowerStrip_Fire_BeforeResolve,4,119 상황요원,,,3
LivingRoom_PowerStrip_Fire_AfterResolve_01,LivingRoom_PowerStrip_Fire_AfterResolve,1,,,,3
LivingRoom_PowerStrip_Fire_AfterResolve_02,LivingRoom_PowerStrip_Fire_AfterResolve,2,,,,3
LivingRoom_PowerStrip_Fire_AfterResolve_03,LivingRoom_PowerStrip_Fire_AfterResolve,3,119 상황요원,,,3
LivingRoom_PowerStrip_Fire_AfterResolve_04,LivingRoom_PowerStrip_Fire_AfterResolve,4,119 상황요원,,,3
Block_Eleavator_01,Block_Eleavator,1,,,,3
Block_Eleavator_02,Block_Eleavator,2,,,,3
