id,language,text,,,,,,,,,코멘트
1,kr,아파트 내부에서 화재가 발생했습니다. 화재경보음과 대피 안내방송이 들립니다.,,,,,,,,,
2,kr,대피 안내방송을 듣고 현관으로 나가기까지의 대피 경로가 안전한지 확인하세요.,,,,,,,,,
3,kr,현관에 짙은 연기가 퍼져 있습니다. 현관을 통한 대피는 위험합니다. 현관으로 나가지 마세요.,,,,,,,,,
4,kr,현관으로 대피할 수 없으므로 발코니에 설치된 대피공간으로 이동하세요.,,,,,,,,,
5,kr,대피공간 안으로 들어간 뒤 방화문을 완전히 닫아 주세요.,,,,,,,,,
6,kr,"휴대전화로 119에 신고하세요. 정확한 주소와 현재 위치, 함께 있는 인원과 부상 여부를 알려 주세요.",,,,,,,,,
7,kr,119입니다. 무슨 상황입니까?,,,,,,,,,
8,kr,아파트에서 화재가 발생했습니다. 주소는 메타아파트 105동 7층 705호입니다.,,,,,,,,,
9,kr,현재 어디에 계십니까? 함께 있는 인원과 다친 사람이 있는지도 말씀해 주세요.,,,,,,,,,
10,kr,"현관 방향에 불길과 짙은 연기가 있어 대피하지 못했습니다. 현재 발코니에 설치된 대피공간 안에 있습니다. 방화문을 닫았으며, 안에는 저 혼자 있고 다친 곳은 없습니다.",,,,,,,,,
11,kr,"신고가 접수되었습니다. 방화문을 열지 말고 대피공간 안에서 기다리세요. 연기가 들어오거나 호흡이 어려워지면 즉시 말씀해 주시고, 구조대가 도착할 때까지 통화를 유지해 주세요.",,,,,,,,,
12,kr,현관을 통한 대피가 불가능할 때는 세대에 설치된 대피공간이나 다른 피난시설로 이동하세요. 방화문을 완전히 닫은 뒤 119에 정확한 위치와 현재 상황을 알리고 구조를 기다리세요.,,,,,,,,,
13,kr,대피공간은 화재 발생 시 바로 사용할 수 있도록 평소에 물건을 쌓아 두지 말고 비워 두세요.,,,,,,,,,
