id,language,text,,,,,,,,코멘트
1,kr,화재가 발생했다고해서 성급하게 행동하면 안됩니다.,,,,,,,,
2,kr,불길을 직접 진압하려 하지 말고 현관을 통해 건물 밖으로 대피하세요.,,,,,,,,
3,kr,대피 경로에 연기가 퍼질 수 있습니다. 앞에 놓인 손수건에 물을 부어 적셔 주세요.,,,,,,,,
4,kr,젖은 손수건으로 코와 입을 가려 연기 흡입을 줄이세요.,,,,,,,,
5,kr,현관으로 이동하세요.,,,,,,,,
6,kr,엘리베이터를 이용하지 말고 비상구 유도등을 따라 비상계단으로 이동하세요.,,,,,,,,
7,kr,화재 시 엘리베이터는 정전이나 고장으로 멈추거나 화재가 발생한 층에서 문이 열릴 수 있어 위험합니다.,,,,,,,,
8,kr,계단에 연기가 유입될 수 있습니다. 젖은 손수건으로 코와 입을 가리고 몸을 낮춰 이동하세요.,,,,,,,,
9,kr,비상구 유도등을 확인하면서 비상계단을 따라 건물 밖으로 대피하세요.,,,,,,,,
10,kr,건물 밖의 안전한 장소까지 대피했습니다. 안전이 확인될 때까지 건물 안으로 다시 들어가지 마세요.,,,,,,,,
11,kr,"화재를 발견했는데 경보가 울리지 않았다면 소방비상벨을 눌러 주변에 알리고, 젖은 천 등으로 입과 코를 막은 후 비상계단으로 대피하세요.",,,,,,,,
