id,language,text
1,kr,복도에 화재가 발생했습니다. 현재 불길이 작고 연기가 많지 않으므로 옥내소화전을 이용해 초기 진화를 시도하세요.
2,kr,먼저 소방비상벨 버튼을 눌러 화재 사실을 주변에 알리세요.
3,kr,소방비상벨이 작동했습니다. 소화전함의 문을 열고 밸브와 호스가 연결되어 있는지 확인하세요.
4,kr,소화전함에서 관창을 잡고 호스를 꺼내세요.
5,kr,"퇴로를 등진 상태에서 관창을 잡고, 호스가 꼬이거나 접히지 않도록 화재 지점 가까이 끌고 가세요."
6,kr,호스가 펼쳐 졌습니다. 소화전함으로 가서 밸브를 왼쪽으로 천천히 돌려 물을 공급하세요.
7,kr,"관창이 있는 위치로 이동한 뒤, 두 손으로 관창을 단단히 잡고 불을 향하게 하세요."
8,kr,관창을 왼쪽으로 돌려 열고 불을 향해 물을 분사하여 불을 진압하세요.
9,kr,초기 화재를 진압했습니다. 소화전 밸브를 오른쪽으로 돌려 완전히 잠가 주세요.
10,kr,옥내소화전은 불길이 작고 대피로가 확보된 초기 화재에만 사용하세요. 불길이 커지거나 연기가 많아지면 즉시 진화를 중단하고 대피하세요.
